Artist,Song,Date Released,Avg,# Ratings,Wants
Chrome Sparks & Reo Cragun,Void,3 December 2021,3.24,10,3
Moonstone,1904,3 December 2021,3.97,5,2
Armida Quartett,String Quartets Vol. 4,3 December 2021,3.50,1,3
Ernte,Geist und Hexerei,3 December 2021,2.94,11,1
Chelys Consort of Viols,Fantazias,3 December 2021,3.00,2,2
Neonix,The Lee Jenningsest EP,3 December 2021,3.57,7,1
Wooli,Resurrection EP,3 December 2021,2.45,9,3
Kurious & Ro Data,Koncrete Jungle,3 December 2021,2.98,7,1
shallou,The Long Way Home,3 December 2021,3.50,4,2
Rauchen,Nein,3 December 2021,2.83,4,1
Music for Sleep,La coesione tra i due mondi,3 December 2021,3.50,1,2
Daniel Pemberton,Being the Ricardos,3 December 2021,2.75,2,1
Tatsuya Yoshida & Risa Takeda,Mirage,3 December 2021,3.67,4,2
EST Gee,"Bigger Than Life or Death, Pt. 2",3 December 2021,3.16,35,3
Equinox,Moments in Bass EP,3 December 2021,-,inf,3
Simulakra,Mankind is a Disease,3 December 2021,3.56,10,3
Arrested Development,For the FKN Love,3 December 2021,3.43,11,2
Arkham Witch,Three Bladed Doom,3 December 2021,3.81,6,1
Serengeti,Captain Malena Side A,3 December 2021,4.00,3,1
Famous Last Words,The Negative,3 December 2021,3.34,7,2
Bear McCreary / Joseph Trapanese,Star Wars: Tales from the Galaxy's Edge,3 December 2021,3.00,2,2
Christian Kjellvander,Exitas (Music for the Artwork of Jacob Felländer),3 December 2021,3.00,6,-
Overo / Punch On! / Zochor / Coma Regalia,Another Year in Hell,3 December 2021,3.15,4,3
Exael,infinite shore / xm,3 December 2021,3.00,5,3
Boneflower / Lang,Dolor / 遠来,3 December 2021,3.62,5,1
天気予報,Yume (2009年3月19日),3 December 2021,3.50,1,3
Kurt Rosenwinkel,Kurt Rosenwinkel Plays Piano,3 December 2021,-,inf,3
Giorgio Poi,Gommapiuma,3 December 2021,2.82,19,2
Jason Boland & The Stragglers,The Light Saw Me,3 December 2021,3.22,9,-
Daily Thompson,God of Spinoza,3 December 2021,3.67,3,1
Sydney Spann,Oceanic/E.L.M.,3 December 2021,4.00,2,2
Krampusnacht,Krampusferatu,3 December 2021,3.41,6,2
Маврин,Иди и смотри,3 December 2021,2.83,3,1
Robert Turman,Mystery Tape,3 December 2021,2.64,4,3
Professor Tip Top,Lanes of Time,3 December 2021,3.75,4,1
Guild of Lore,The Spine of Night,3 December 2021,3.68,8,2
Ian Boddy & Nigel Mullaney,Smoke & Mirrors,3 December 2021,4.00,1,2
Metamorphagist,Cyberwaste.exe,2 December 2021,3.84,4,3
G.Soul,Natural,2 December 2021,2.42,9,2
Coldplay,Infinity Station Sessions,2 December 2021,2.43,5,3
Eartheater,Couture Mix,2 December 2021,2.75,2,1
Matt Martians,Butterfly Don't Visit Caterpillar,2 December 2021,3.11,16,2
Edward Ka-Spel,Dark Window Wave,2 December 2021,3.78,2,1
Brojob,Covered in Brojob Vol. 1,2 December 2021,3.00,4,1
Diablation,Allégeance,1 December 2021,3.12,8,-
DJ Lag,Meeting With the King,December 2021,-,inf,3
Night Tempo,Ladies in the City,1 December 2021,3.15,16,2
Bring Forth the Exodus,Rituals From a Dying Forest,1 December 2021,3.01,7,-
The Crams,Blue Burns Through the Soul,1 December 2021,-,inf,2
Mod Sens / Delian Sound / Borai,Lunar VA001,1 December 2021,3.67,3,2
Wreck-Defy,The World Enslaved,1 December 2021,2.75,3,-
Swedish Chamber Orchestra / Thomas Dausgaard,Symphonies 1 & 3 'Scottish',December 2021,1.94,2,3
Destillat,Under Black Horizons,December 2021,3.83,4,-
Malkenoa,City Symphonies,1 December 2021,3.33,3,2
Dialect,Keep Going... Under,1 December 2021,3.36,8,3
