Artist,Song,Date Released,Avg,# Ratings,Wants
Fortress,Don't Spare the Wicked,26 November 2021,3.52,32,10
Morgul Blade,Fell Sorcery Abounds,26 November 2021,3.49,59,13
John Zorn,The Ninth Circle,26 November 2021,3.80,7,21
Sokół,Nic,19 November 2021,3.09,132,8
"Mandy, Indiana",... EP,19 November 2021,3.26,70,15
Beach Fossils,The Other Side of Life: Piano Ballads,19 November 2021,3.23,65,11
Lancey Foux,Live.Evil,19 November 2021,3.16,210,16
위키미키 [Weki Meki],I Am Me.,18 November 2021,3.34,145,13
Life,Coma Garden,18 December 2021,3.76,32,17
Charnel Altar,Abatement of the Sun,17 December 2021,3.26,35,14
Ifernach,Capitulation of All Life,16 December 2021,3.49,38,15
Spaceslug,Memorial,10 December 2021,3.36,56,10
Weedpecker,IV: The Stream of Forgotten Thoughts,3 December 2021,3.24,67,12
Epica,Omega Alive,3 December 2021,3.91,29,10
Oxxxymiron,Красота и Уродство,1 December 2021,2.60,248,6
Squid,Cover Versions,30 November 2021,3.45,7,19
Hitten,Triumph & Tragedy,26 November 2021,3.40,31,6
Helmet,Live and Rare,26 November 2021,3.47,24,12
Eldritch,Eos,19 November 2021,3.28,24,8
Civerous,Decrepit Flesh Relic,19 November 2021,3.52,60,12
µ-Ziq,Magic Pony Ride,2022,-,inf,21
れをる [Reol],The Sixth Sense,15 December 2021,3.41,66,14
Tor Lundvall,Beautiful Illusions,10 December 2021,3.28,30,10
Bladee w/ Hannah DiamondBladeeHannah Diamond,Bladee Radio,BladeeHannah Diamond,3.27,21,15
Pantheist,Closer to God,3 December 2021,3.48,33,14
工藤礼子 [Reiko Kudo] & 工藤冬里 [Tori Kudo],Tangerine,29 November 2021,3.29,22,14
Lordi,Lordiversity - Superflytrap,26 November 2021,3.20,34,7
Death Angel,The Bastard Tracks,26 November 2021,3.50,16,9
Kill Bill: The Rapper,Snowglobe Theory,26 November 2021,3.19,165,10
Encenathrakh,Studio Album,21 November 2021,3.78,31,16
Donato Dozzy,124,19 November 2021,3.16,35,15
Weakened Friends,Quitter,19 November 2021,3.19,43,6
Deap Vally,Marriage,19 November 2021,3.13,52,7
Asa Tone,Live at New Forms,18 November 2021,3.43,41,17
Kylie,DISCO (Extended Mixes),10 December 2021,4.06,67,13
Lil Pump & Ronny J,Lil Pump 1.5,10 December 2021,1.97,147,14
